epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7808,1.44461,1.1649,1.3207,0.69482,0.64241,0.65181,0.33982,1.68561,1.48848,1.50799,0.000331588,0.000331588,0.0671728
2,150.581,1.48843,1.22142,1.33928,0.69026,0.55139,0.57697,0.28014,1.77189,1.6098,1.57344,0.000599094,0.000599094,0.0341069
3,218.923,1.49328,1.24993,1.3513,0.7569,0.61514,0.67814,0.35458,1.69818,1.46792,1.51924,0.0008006,0.0008006,0.00097512
4,286.61,1.49511,1.23596,1.35763,0.75571,0.59541,0.67865,0.35249,1.70514,1.44937,1.527,0.000703,0.000703,0.000703
5,354.376,1.45608,1.21134,1.34124,0.74844,0.63672,0.67013,0.37898,1.64092,1.50464,1.47349,0.000604,0.000604,0.000604
6,422.892,1.41336,1.14115,1.3125,0.75287,0.63968,0.69382,0.35628,1.67067,1.38235,1.48583,0.000505,0.000505,0.000505
7,491.927,1.39377,1.11033,1.29943,0.74093,0.67702,0.71593,0.39186,1.62461,1.34279,1.46304,0.000406,0.000406,0.000406
8,560.14,1.35459,1.06444,1.26768,0.79855,0.61924,0.72618,0.39059,1.62522,1.33161,1.45927,0.000307,0.000307,0.000307
9,627.665,1.31779,1.00202,1.24951,0.77331,0.65448,0.72461,0.40155,1.60547,1.27511,1.43184,0.000208,0.000208,0.000208
10,695.722,1.30601,0.97,1.24242,0.81564,0.64227,0.7351,0.40083,1.60335,1.27507,1.424,0.000109,0.000109,0.000109
